vip,bnd,correct rate
318,bnd,33.33
319,bnd,47.06
320,bnd,30.77
321,bnd,12.50
322,bnd,0.00
323,bnd,0.00
324,bnd,0.00
325,bnd,27.59
326,bnd,29.63
327,bnd,0.00
328,bnd,40.00
329,bnd,20.27
330,bnd,0.00
331,bnd,33.33
332,bnd,0.00
333,bnd,33.33
334,bnd,16.67
335,bnd,0.00
336,bnd,27.27
337,bnd,5.56
338,bnd,23.81
339,bnd,13.51
340,bnd,42.86
341,bnd,28.57
342,bnd,37.50
343,bnd,31.25
344,bnd,50.00
345,bnd,17.78
346,bnd,0.00
347,bnd,0.00
348,bnd,18.18
349,bnd,44.44
350,bnd,16.13
351,bnd,20.00
352,bnd,29.17
353,bnd,30.43
354,bnd,0.00
355,bnd,36.36
356,bnd,8.33
357,bnd,20.69
358,bnd,58.33
359,bnd,23.53
360,bnd,42.86
361,bnd,29.17
362,bnd,37.50
363,bnd,21.95
364,bnd,27.78
365,bnd,24.14
366,bnd,35.00
367,bnd,0.00
368,bnd,19.23
369,bnd,20.00
370,bnd,26.19
371,bnd,16.67
372,bnd,47.83
373,bnd,6.67
374,bnd,9.09
375,bnd,20.00
376,bnd,13.79
377,bnd,35.71
378,bnd,16.67
379,bnd,0.00
380,bnd,6.25
381,bnd,46.67
382,bnd,37.50
383,bnd,37.50
384,bnd,33.33
385,bnd,18.75
386,bnd,0.00
387,bnd,33.33
388,bnd,17.86
389,bnd,21.05
390,bnd,3.85
391,bnd,16.67
392,bnd,26.09
393,bnd,19.23
394,bnd,50.00
395,bnd,27.27
396,bnd,66.67
397,bnd,7.69
398,bnd,0.00
399,bnd,12.50
400,bnd,37.93
401,bnd,0.00
402,bnd,37.50
403,bnd,13.04
404,bnd,57.14
405,bnd,40.00
406,bnd,17.39
407,bnd,5.88
408,bnd,50.00
409,bnd,0.00
410,bnd,0.00
411,bnd,42.86
412,bnd,28.57
413,bnd,9.09
414,bnd,44.44
415,bnd,8.33
416,bnd,26.92
417,bnd,18.18
418,bnd,0.00
419,bnd,87.50
420,bnd,40.00
421,bnd,20.83
422,bnd,0.00
423,bnd,34.78
424,bnd,33.33
425,bnd,33.33
426,bnd,17.86
427,bnd,57.14
428,bnd,16.67
429,bnd,12.50
430,bnd,44.00
431,bnd,0.00
432,bnd,32.14
433,bnd,40.00
434,bnd,26.19
435,bnd,25.00
436,bnd,16.67
437,bnd,31.25
438,bnd,12.90
439,bnd,31.25
440,bnd,25.00
441,bnd,25.00
442,bnd,27.27
443,bnd,12.50
444,bnd,38.89
445,bnd,20.00
446,bnd,26.67
447,bnd,30.95
448,bnd,13.19
449,bnd,27.27
450,bnd,17.86
451,bnd,44.44
452,bnd,25.00
453,bnd,37.50
454,bnd,22.22
455,bnd,33.33
456,bnd,13.33
457,bnd,28.57
458,bnd,31.71
459,bnd,28.00
460,bnd,32.26
461,bnd,40.00
462,bnd,12.50
463,bnd,7.14
464,bnd,14.29
465,bnd,37.50
466,bnd,12.50
467,bnd,31.25
468,bnd,5.00
469,bnd,25.00
470,bnd,17.24
471,bnd,29.41
472,bnd,27.27
473,bnd,38.46
474,bnd,24.00
475,bnd,58.33
476,bnd,27.27
477,bnd,0.00
478,bnd,50.00
479,bnd,0.00
480,bnd,20.83
481,bnd,0.00
482,bnd,17.39
483,bnd,47.06
484,bnd,26.09
485,bnd,7.14
