vip,dpt,correct rate
318,dpt,66.67
319,dpt,64.71
320,dpt,53.85
321,dpt,75.00
322,dpt,0.00
323,dpt,43.75
324,dpt,0.00
325,dpt,62.07
326,dpt,51.85
327,dpt,0.00
328,dpt,40.00
329,dpt,41.89
330,dpt,0.00
331,dpt,62.50
332,dpt,33.33
333,dpt,50.00
334,dpt,66.67
335,dpt,0.00
336,dpt,63.64
337,dpt,55.56
338,dpt,57.14
339,dpt,54.05
340,dpt,57.14
341,dpt,47.62
342,dpt,43.75
343,dpt,62.50
344,dpt,61.90
345,dpt,28.89
346,dpt,50.00
347,dpt,100.00
348,dpt,63.64
349,dpt,66.67
350,dpt,37.10
351,dpt,40.00
352,dpt,58.33
353,dpt,56.52
354,dpt,66.67
355,dpt,66.67
356,dpt,41.67
357,dpt,55.17
358,dpt,91.67
359,dpt,52.94
360,dpt,47.62
361,dpt,70.83
362,dpt,75.00
363,dpt,41.46
364,dpt,72.22
365,dpt,62.07
366,dpt,62.50
367,dpt,0.00
368,dpt,69.23
369,dpt,50.00
370,dpt,57.14
371,dpt,48.15
372,dpt,65.22
373,dpt,40.00
374,dpt,59.09
375,dpt,40.00
376,dpt,37.93
377,dpt,35.71
378,dpt,50.00
379,dpt,66.67
380,dpt,25.00
381,dpt,80.00
382,dpt,75.00
383,dpt,50.00
384,dpt,61.54
385,dpt,56.25
386,dpt,61.11
387,dpt,45.83
388,dpt,50.00
389,dpt,68.42
390,dpt,46.15
391,dpt,66.67
392,dpt,39.13
393,dpt,46.15
394,dpt,50.00
395,dpt,72.73
396,dpt,50.00
397,dpt,57.69
398,dpt,50.00
399,dpt,41.67
400,dpt,65.52
401,dpt,44.44
402,dpt,70.83
403,dpt,30.43
404,dpt,57.14
405,dpt,40.00
406,dpt,34.78
407,dpt,58.82
408,dpt,62.50
409,dpt,25.00
410,dpt,66.67
411,dpt,57.14
412,dpt,71.43
413,dpt,72.73
414,dpt,33.33
415,dpt,54.17
416,dpt,61.54
417,dpt,72.73
418,dpt,60.00
419,dpt,87.50
420,dpt,66.67
421,dpt,58.33
422,dpt,66.67
423,dpt,47.83
424,dpt,83.33
425,dpt,33.33
426,dpt,50.00
427,dpt,42.86
428,dpt,29.17
429,dpt,62.50
430,dpt,44.00
431,dpt,0.00
432,dpt,60.71
433,dpt,60.00
434,dpt,35.71
435,dpt,87.50
436,dpt,40.48
437,dpt,53.13
438,dpt,45.16
439,dpt,68.75
440,dpt,41.67
441,dpt,37.50
442,dpt,63.64
443,dpt,50.00
444,dpt,66.67
445,dpt,56.67
446,dpt,60.00
447,dpt,61.90
448,dpt,25.69
449,dpt,54.55
450,dpt,55.36
451,dpt,52.78
452,dpt,53.57
453,dpt,65.00
454,dpt,66.67
455,dpt,63.33
456,dpt,93.33
457,dpt,50.00
458,dpt,39.02
459,dpt,56.00
460,dpt,61.29
461,dpt,70.00
462,dpt,43.75
463,dpt,71.43
464,dpt,50.00
465,dpt,56.25
466,dpt,62.50
467,dpt,37.50
468,dpt,45.00
469,dpt,50.00
470,dpt,20.69
471,dpt,41.18
472,dpt,50.00
473,dpt,53.85
474,dpt,60.00
475,dpt,75.00
476,dpt,36.36
477,dpt,33.33
478,dpt,60.00
479,dpt,31.25
480,dpt,70.83
481,dpt,35.29
482,dpt,60.87
483,dpt,47.06
484,dpt,47.83
485,dpt,57.14
