vip,dpt,correct rate
318,dpt,100.00
319,dpt,92.31
320,dpt,82.35
321,dpt,75.00
322,dpt,0.00
323,dpt,70.00
324,dpt,0.00
325,dpt,82.61
326,dpt,70.00
327,dpt,0.00
328,dpt,100.00
329,dpt,80.00
330,dpt,0.00
331,dpt,88.24
332,dpt,40.00
333,dpt,75.00
334,dpt,80.00
335,dpt,100.00
336,dpt,88.89
337,dpt,100.00
338,dpt,100.00
339,dpt,83.33
340,dpt,92.31
341,dpt,71.43
342,dpt,61.54
343,dpt,84.62
344,dpt,90.32
345,dpt,87.50
346,dpt,80.00
347,dpt,100.00
348,dpt,87.50
349,dpt,92.86
350,dpt,80.00
351,dpt,62.50
352,dpt,82.35
353,dpt,92.86
354,dpt,100.00
355,dpt,95.65
356,dpt,71.43
357,dpt,80.95
358,dpt,100.00
359,dpt,82.61
360,dpt,76.92
361,dpt,94.74
362,dpt,85.71
363,dpt,85.00
364,dpt,92.86
365,dpt,85.71
366,dpt,86.21
367,dpt,0.00
368,dpt,100.00
369,dpt,78.95
370,dpt,72.73
371,dpt,86.67
372,dpt,85.00
373,dpt,72.73
374,dpt,86.67
375,dpt,63.64
376,dpt,76.47
377,dpt,85.71
378,dpt,100.00
379,dpt,100.00
380,dpt,61.11
381,dpt,92.31
382,dpt,85.71
383,dpt,70.83
384,dpt,92.31
385,dpt,81.82
386,dpt,100.00
387,dpt,73.33
388,dpt,77.78
389,dpt,92.86
390,dpt,85.71
391,dpt,100.00
392,dpt,50.00
393,dpt,92.31
394,dpt,60.00
395,dpt,88.89
396,dpt,60.00
397,dpt,93.75
398,dpt,100.00
399,dpt,90.91
400,dpt,91.30
401,dpt,55.56
402,dpt,80.95
403,dpt,83.33
404,dpt,66.67
405,dpt,75.00
406,dpt,59.38
407,dpt,100.00
408,dpt,71.43
409,dpt,25.00
410,dpt,100.00
411,dpt,66.67
412,dpt,100.00
413,dpt,100.00
414,dpt,42.86
415,dpt,82.35
416,dpt,84.21
417,dpt,88.89
418,dpt,100.00
419,dpt,100.00
420,dpt,90.91
421,dpt,84.21
422,dpt,80.00
423,dpt,84.62
424,dpt,100.00
425,dpt,50.00
426,dpt,73.68
427,dpt,75.00
428,dpt,100.00
429,dpt,85.71
430,dpt,61.90
431,dpt,0.00
432,dpt,90.48
433,dpt,76.47
434,dpt,62.07
435,dpt,87.50
436,dpt,95.00
437,dpt,72.00
438,dpt,78.95
439,dpt,100.00
440,dpt,92.31
441,dpt,66.67
442,dpt,70.00
443,dpt,57.14
444,dpt,100.00
445,dpt,89.47
446,dpt,73.33
447,dpt,83.87
448,dpt,80.43
449,dpt,100.00
450,dpt,94.12
451,dpt,66.67
452,dpt,80.95
453,dpt,81.82
454,dpt,100.00
455,dpt,90.91
456,dpt,100.00
457,dpt,100.00
458,dpt,62.07
459,dpt,83.33
460,dpt,79.17
461,dpt,87.50
462,dpt,87.50
463,dpt,90.91
464,dpt,63.64
465,dpt,73.08
466,dpt,83.33
467,dpt,72.73
468,dpt,64.71
469,dpt,85.71
470,dpt,75.00
471,dpt,93.33
472,dpt,75.00
473,dpt,93.75
474,dpt,93.75
475,dpt,81.82
476,dpt,57.14
477,dpt,75.00
478,dpt,87.50
479,dpt,75.00
480,dpt,90.00
481,dpt,70.00
482,dpt,100.00
483,dpt,90.00
484,dpt,95.65
485,dpt,72.73
